id,lon,lat,stationType
62,-99.175202,19.413322,BIKE
63,-99.171531,19.413681,"BIKE,TPV"
64,-99.166986,19.412877,BIKE
65,-99.139906,19.436142,"BIKE,TPV"
66,-99.178666,19.411402,BIKE
67,-99.17588,19.411797,BIKE
68,-99.17406,19.411556,"BIKE,TPV"
69,-99.168111,19.410733,BIKE
70,-99.169718,19.411272,"BIKE,TPV"
71,-99.171351,19.411423,BIKE
72,-99.179544,19.409893,BIKE
73,-99.175612,19.410245,BIKE
74,-99.172831,19.410343,BIKE
75,-99.17669,19.408722,BIKE
76,-99.170462,19.409439,BIKE
77,-99.178321,19.406765,BIKE
78,-99.177382,19.407503,"BIKE,TPV"
79,-99.174427,19.407534,BIKE
80,-99.172118,19.407307,BIKE
81,-99.168475,19.408006,BIKE
82,-99.143686,19.433115,"BIKE,TPV"
83,-99.172117,19.406296,"BIKE,TPV"
84,-99.169587,19.40702,BIKE
85,-99.162508,19.43425,BIKE
86,-99.159077,19.432378,"BIKE,TPV"
87,-99.13974,19.43182,"BIKE,TPV"
88,-99.135303,19.433815,BIKE
89,-99.133989,19.434946,"BIKE,TPV"
90,-99.132446,19.431698,"BIKE,TPV"
91,-99.137571,19.4374,BIKE
92,-99.131497,19.436531,BIKE
93,-99.134811,19.436741,BIKE
94,-99.130918,19.433766,BIKE
95,-99.133698,19.430722,BIKE
96,-99.14248,19.430625,BIKE
97,-99.132759,19.429189,"BIKE,TPV"
98,-99.14861,19.430267,BIKE
99,-99.14591,19.42995,BIKE
100,-99.1338,19.428485,BIKE
101,-99.135895,19.428366,BIKE
102,-99.13949,19.42821,BIKE
104,-99.137116,19.427059,"BIKE,TPV"
105,-99.135014,19.426755,BIKE
106,-99.133537,19.42649,BIKE
107,-99.149971,19.427329,BIKE
108,-99.149533,19.427305,"BIKE,TPV"
109,-99.137421,19.425311,BIKE
110,-99.14339,19.42513,BIKE
112,-99.151734,19.432819,BIKE
113,-99.154419,19.430369,BIKE
114,-99.153618,19.428989,BIKE
115,-99.159698,19.429947,BIKE
116,-99.15664,19.428985,BIKE
117,-99.160369,19.427132,BIKE
118,-99.158251,19.427114,BIKE
119,-99.15554,19.42679,BIKE
120,-99.159458,19.425437,BIKE
121,-99.161317,19.424137,BIKE
122,-99.146337,19.425502,BIKE
123,-99.153117,19.424161,BIKE
124,-99.150358,19.422392,BIKE
125,-99.156204,19.424541,BIKE
126,-99.162138,19.422288,BIKE
127,-99.15833,19.423318,BIKE
128,-99.160645,19.422148,"BIKE,TPV"
129,-99.163312,19.4206,BIKE
130,-99.158015,19.421576,BIKE
131,-99.161314,19.419579,BIKE
132,-99.15645,19.420667,BIKE
133,-99.154725,19.421138,BIKE
134,-99.15956,19.418304,"BIKE,TPV"
135,-99.155099,19.419225,"BIKE,TPV"
136,-99.162729,19.417715,"BIKE,TPV"
137,-99.157081,19.418774,BIKE
138,-99.155313,19.417702,BIKE
139,-99.162097,19.416128,BIKE
140,-99.156853,19.416605,BIKE
141,-99.15954,19.415905,"BIKE,TPV"
142,-99.164121,19.413232,BIKE
143,-99.157542,19.414303,BIKE
144,-99.154837,19.415192,BIKE
145,-99.160661,19.41286,BIKE
146,-99.165716,19.410737,BIKE
147,-99.158443,19.412182,BIKE
148,-99.155116,19.412829,BIKE
149,-99.155699,19.41199,BIKE
150,-99.164292,19.409965,BIKE
151,-99.160873,19.410529,BIKE
152,-99.167181,19.409098,"BIKE,TPV"
153,-99.165141,19.407468,BIKE
154,-99.167962,19.406683,"BIKE,TPV"
155,-99.159911,19.408218,BIKE
156,-99.162202,19.407121,BIKE
157,-99.166616,19.406236,BIKE
158,-99.155717,19.407447,"BIKE,TPV"
159,-99.155373,19.407517,BIKE
160,-99.16346,19.44025,BIKE
